Complaint,CodedMonth,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,CADAddress,CADStreet,XCoord,YCoord
18-030852,2018-07,2/1/2018 0:01,21000,4,RAPE -- FORCIBLE,1600,WASHINGTON AVE,36,1600,WASHINGTON,0,0
18-029605,2018-07,2/3/2018 20:35,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1451,N KINGSHIGHWAY BLVD,51,1451,KINGSHIGHWAY,888171.9,1030307
18-029600,2018-07,2/4/2018 17:27,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50,5750,NATURAL BRIDGE,885556.4,1038533
18-029602,2018-07,2/5/2018 23:15,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50,5750,NATURAL BRIDGE,885556.4,1038533
18-029608,2018-07,2/18/2018 16:45,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3431,UNION BLVD,50,3431,UNION,888884.8,1036000
18-035121,2018-07,2/24/2017 8:00,69602,2,"LARCENY-ALL OTHER $500 - $24,999",1311,S 39TH ST,29,1311,39TH,893529.4,1015954
18-009296,2018-07,2/27/2018 12:00,69702,5,LARCENY-ALL OTHER UNDER $500,4928,FOUNTAIN,53,4928,FOUNTAIN,0,0
18-033001,2018-07,2/28/2018 9:00,67701,5,LARCENY-FROM BUILDING UNDER $500,620,N SKINKER BLVD,48,620,SKINKER,877416.1,1027646
18-032574,2018-07,3/1/2018 7:46,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6570,ODELL ST,11,6570,ODELL,877107.9,1010909
18-032869,2018-07,3/1/2018 10:00,69702,6,LARCENY-ALL OTHER UNDER $500,4638,W FLORISSANT AVE,71,4638,FLORISSANT,897308.8,1038081
18-034939,2018-07,3/1/2018 11:00,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3434,MISSOURI AVE,18,3434,MISSOURI,899355.3,1004503
18-035509,2018-07,3/1/2018 12:00,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5924,EMMA AVE,76,5924,EMMA,890791.8,1045503
18-033930,2018-07,3/1/2018 12:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,5371,ST LOUIS AVE,50,5371,ST LOUIS,887595.4,1034924
18-011406,2018-07,3/3/2018 18:00,91123,5,SIMPLE ASSAULT-CHILD/NO INJURY,1,CHILDRENS,38,1,CHILDRENS,0,0
18-035886,2018-07,3/4/2018 20:00,65701,3,LARCENY-MTR VEH PARTS UNDER $500,3647,ARKANSAS AVE,19,3647,ARKANSAS,893713.3,1003947
18-011657,2018-07,3/5/2018 22:30,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1923,PRAIRIE,59,1923,PRAIRIE,0,0
18-033557,2018-07,3/15/2016 13:00,65701,2,LARCENY-MTR VEH PARTS UNDER $500,6412,WINONA AVE,8,6412,WINONA,877782.1,1004704
18-032608,2018-07,3/15/2018 10:00,52322,1,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,4677,LANSDOWNE AVE,5,4677,LANSDOWNE,884993.3,1002977
18-033508,2018-07,3/15/2018 12:00,69702,6,LARCENY-ALL OTHER UNDER $500,8612,HALLS FERRY RD,74,8612,HALLS FERRY,895810.5,1049854
18-029603,2018-07,3/18/2018 8:00,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50,5750,NATURAL BRIDGE,885556.4,1038533
18-034380,2018-07,3/20/2018 10:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4965,SAINT LOUIS AVE,55,4569,SAINT LOUIS,890079.4,1033431
18-013016,2018-07,3/24/2018 7:15,32211,6,ROBBERY-RESIDENCE  /KNIFE USED/SUCCESSFUL,5842,FLORISSANT,72,5842,FLORISSANT,0,0
18-013016,2018-07,3/24/2018 7:15,42011,6,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,5842,FLORISSANT,72,5842,FLORISSANT,0,0
18-031504,2018-07,3/26/2018 19:18,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36,721,TUCKER,906857.6,1019492
18-031497,2018-07,3/26/2018 21:39,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36,721,TUCKER,906857.6,1019492
18-031995,2018-07,3/27/2018 16:30,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1528,BIDDLE ST,61,1528,BIDDLE,905664.1,1021110
18-031510,2018-07,3/27/2018 22:10,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36,721,TUCKER,906857.6,1019492
18-032591,2018-07,3/28/2018 9:21,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4262,VIRGINIA AVE,16,4262,VIRGINIA,894221.4,999675
18-031693,2018-07,3/28/2018 10:00,67601,2,"LARCENY-FROM BUILDING $500 - $24,999",3969,BOTANICAL AVE,27,3969,BOTANICAL,891991.9,1010900
18-031651,2018-07,3/31/2018 23:44,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36,721,TUCKER,906857.6,1019492
18-031031,2018-07,4/1/2017 16:48,112010,3,FRAUD-CREDIT DEVICE/OVER $150,3703,OREGON AVE,19,3703,OREGON,896628.9,1003244
18-031383,2018-07,4/1/2018 9:00,67701,6,LARCENY-FROM BUILDING UNDER $500,884,HARLAN AVE,74,884,HARLAN,896711.3,1051846
18-034175,2018-07,4/3/2018 12:00,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5003,NATURAL BRIDGE AVE,70,5003,NATURAL BRIDGE,891035.4,1035280
18-030628,2018-07,4/3/2018 20:40,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4460,S 39TH ST,16,4460,39TH,891012.9,1000763
18-029601,2018-07,4/4/2018 1:00,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50,5750,NATURAL BRIDGE,885556.4,1038533
18-029607,2018-07,4/4/2018 7:10,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3431,UNION BLVD,50,3431,UNION,888884.8,1036000
18-029610,2018-07,4/4/2018 10:00,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5155,TERRY AVE,52,5155,TERRY,888833,1033827
18-031658,2018-07,4/4/2018 23:05,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36,721,TUCKER,906857.6,1019492
18-032157,2018-07,4/5/2018 12:14,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,800,WASHINGTON AVE,35,800,WASHINGTON,908187.4,1018534
18-029893,2018-07,4/5/2018 18:30,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1225,UNION BLVD,48,1225,UNION,885132.9,1029391
18-029901,2018-07,4/5/2018 22:20,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3404,HAMILTON AVE,50,3404,HAMILTON,884446,1038097
18-031695,2018-07,4/8/2018 22:30,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1534,N 19TH ST,60,1534,19TH,904943.3,1023338
18-032014,2018-07,4/10/2018 17:20,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1232,N 16TH ST,61,1232,16TH,906038.7,1021654
18-032029,2018-07,4/10/2018 23:50,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2037,HOWARD ST,60,2037,HOWARD,904105.5,1024253
18-032038,2018-07,4/11/2018 15:00,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3710,N GRAND BLVD,67,3710,GRAND,901258.3,1029801
18-022706,2018-07,4/11/2018 20:00,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3310,WYOMING ST,25,3310,WYOMING,895160.1,1006780
18-032001,2018-07,4/11/2018 22:30,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1807,COLE ST,36,1807,COLE,904895.9,1020941
18-016211,2018-07,4/12/2018 8:30,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,77, , ,0,0
18-016087,2018-07,4/12/2018 10:00,151130,5,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,5883,WABADA AVE,50,5883,WABADA,883082.8,1035275
18-032020,2018-07,4/13/2018 0:50,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1460,PRESERVATION PL,61,1460,PRESERVATION,906689.7,1022067
18-033998,2018-07,4/18/2018 8:11,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,811,N 9TH ST,35,11,9TH,908092,1019473
18-035284,2018-07,4/20/2018 8:00,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4401,CHIPPEWA ST,15,4401,CHIPPEWA,886842.2,1004175
18-034412,2018-07,4/21/2018 12:00,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5311,N KINGSHIGHWAY BLVD,71,5311,KINGSHIGHWAY,894002.5,1039794
18-035095,2018-07,4/21/2018 21:20,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1606,PRESERVATION PL,61,1606,PRESERVATION,906189.8,1022184
18-029900,2018-07,4/21/2018 22:40,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3404,HAMILTON AVE,50,3404,HAMILTON,884446,1038097
18-026418,2018-07,4/24/2018 15:00,44021,6,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 1ST DEGRE",8449,EDNA ST,74,8448,EDNA,895449.2,1049335
18-018166,2018-07,4/24/2018 18:01,115200,1,FRAUD-STEALING BY DECEIT/UNDER $150,4334,WALLACE,5,4334,WALLACE,0,0
18-035091,2018-07,4/24/2018 20:15,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1807,COCHRAN PL,61,1807,COCHRAN,905432.7,1022657
18-035022,2018-07,4/25/2017 12:00,23000,6,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4200,RED BUD AVE,68,4200,RED BUD,0,0
18-029609,2018-07,4/25/2018 10:50,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3431,UNION BLVD,50,3431,UNION,888884.8,1036000
18-035113,2018-07,4/26/2018 14:31,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1201,N LEONARD AVE,77,1201,LEONARD,898774.8,1023655
18-035104,2018-07,4/28/2018 10:15,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1133,WASHINGTON AVE,35,1133,WASHINGTON,907003.4,1019090
18-033424,2018-07,4/28/2018 16:00,67701,4,LARCENY-FROM BUILDING UNDER $500,1000,WASHINGTON AVE,35,1000,WASHINGTON,907483,1018737
18-033322,2018-07,4/30/2018 8:00,69702,4,LARCENY-ALL OTHER UNDER $500,1308,WASHINGTON AVE,36,919,JEFFERSON,906270.8,1019053
18-031483,2018-07,4/30/2018 8:00,69602,6,"LARCENY-ALL OTHER $500 - $24,999",0,I 70 WESTBOUND / SHREVE AVE,69, , ,894744.3,1037701
18-033813,2018-07,5/1/2018 0:01,43026,3,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3012,MIAMI ST,19,3012,MIAMI,896000.1,1003973
18-033813,2018-07,5/1/2018 0:01,43026,3,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3012,MIAMI ST,19,3012,MIAMI,896000.1,1003973
18-032223,2018-07,5/1/2018 0:01,91123,3,SIMPLE ASSAULT-CHILD/NO INJURY,3621,VIRGINIA AVE,19,3922,OREGON,894748.8,1004021
18-032094,2018-07,5/1/2018 0:01,179220,3,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,2800,MAGNOLIA AVE,24,2800,MAGNOLIA,0,0
18-033813,2018-07,5/1/2018 0:01,43026,3,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3012,MIAMI ST,19,3012,MIAMI,896000.1,1003973
18-034806,2018-07,5/1/2018 8:00,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2133,STANSBURY ST,18,2133,STANSBURY,898950.9,1002704
18-034806,2018-07,5/1/2018 8:00,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2133,STANSBURY ST,18,2133,STANSBURY,898950.9,1002704
18-032224,2018-07,5/1/2018 10:00,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",7525,S BROADWAY,2,7525,BROADWAY,889405.3,988394.8
18-033147,2018-07,5/1/2018 12:17,65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0,811,SPRUCE,0,0
18-019663,2018-07,5/3/2018 10:15,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5761,RIVERVIEW BLVD,73,5761,RIVERVIEW,892114.9,1047012
18-029894,2018-07,5/3/2018 14:20,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1225,UNION BLVD,48,1225,UNION,885132.9,1029391
18-029899,2018-07,5/4/2018 19:55,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4218,LINDELL BLVD,38,4218,LINDELL,891808.7,1022061
18-020081,2018-07,5/5/2018 16:00,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3903,C D BANKS AVE,77,4101,GRAVOIS,895740.8,1024363
18-020081,2018-07,5/5/2018 16:00,41024,4,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,3903,C D BANKS AVE,77,4101,GRAVOIS,895740.8,1024363
18-020081,2018-07,5/5/2018 16:00,41014,4,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3903,C D BANKS AVE,77,4101,GRAVOIS,895740.8,1024363
18-020081,2018-07,5/5/2018 16:00,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3903,C D BANKS AVE,77,4101,GRAVOIS,895740.8,1024363
18-020122,2018-07,5/5/2018 23:50,265321,6,LEAVING SCENE OF ACCIDENT,0,BADEN AVE / N BROADWAY,74, , ,897152.1,1047899
18-033080,2018-07,5/8/2015 0:01,175400,1,SEX OFFNS-SX MISCONDUCT/SECOND,6000,MICHIGAN AVE,1,6000,MICHIGAN,0,0
18-021079,2018-07,5/9/2018 15:25,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",3900,W. FLORISSANT,67,4014,UNION,0,0
18-030831,2018-07,5/10/2018 15:00,69702,3,LARCENY-ALL OTHER UNDER $500,3633,MICHIGAN AVE,19,3633,MICHIGAN,895381.8,1003800
18-034416,2018-07,5/11/2018 8:00,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1426,PEABODY CT,33,1426,PEABODY,904206.2,1013767
18-021119,2018-07,5/11/2018 18:50,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,2141,FAIR,68,2141,FAIR,0,0
18-021119,2018-07,5/11/2018 18:50,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2141,FAIR,68,2141,FAIR,0,0
18-021156,2018-07,5/11/2018 23:40,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5588,ETZEL AVE,48,5580,ETZEL,883079.1,1030390
18-021324,2018-07,5/12/2018 16:00,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4531,CLARENCE,68,4531,CLARENCE,0,0
18-033222,2018-07,5/12/2018 18:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,2301,S 7TH ST,21,2301,7TH,904454.4,1008921
18-031601,2018-07,5/14/2018 8:49,69702,3,LARCENY-ALL OTHER UNDER $500,1500,LAFAYETTE AVE,33,1500,LAFAYETTE,903565.4,1012169
18-024100,2018-07,5/14/2018 13:50,241300,3,DISORDERLY CONDUCT-PEACE DSTRB/SCHOOL,4041,S BROADWAY,16,4041,BROADWAY,897645.1,1000735
18-034356,2018-07,5/15/2018 22:00,91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,6161,DELMAR BLVD,46,6161,DELMAR,877404.6,1027557
18-032156,2018-07,5/16/2018 13:08,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,800,WASHINGTON AVE,35,800,WASHINGTON,908187.4,1018534
18-032665,2018-07,5/19/2018 12:00,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4512,OLEATHA AVE,15,4512,OLEATHA,886564.1,1005635
18-033140,2018-07,5/19/2018 18:00,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3518,N NEWSTEAD AVE,56,3518,NEWSTEAD,895160.2,1032160
18-031702,2018-07,5/20/2018 0:01,117000,1,FAILURE TO RETURN BORROWED/RENTED VEHICL,3623,ALBERTA ST,16,3623,ALBERTA,892839.8,1002194
18-034449,2018-07,5/21/2018 18:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4220,MCPHERSON AVE,38,4220,MCPHERSON,892042.3,1022916
18-022879,2018-07,5/22/2018 7:00,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,342,HURCK ST,2, , ,886864.1,987149.8
18-022879,2018-07,5/22/2018 7:00,91303,1,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,342,HURCK ST,2, , ,886864.1,987149.8
18-033163,2018-07,5/25/2018 7:09,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3930,N KINGSHIGHWAY BLVD,69,3930,KINGSHIGHWAY,891566.9,1035732
18-030302,2018-07,5/25/2018 9:00,264100,1,HEALTH-SANITATION VIOL,0,CARLSBAD AVE / DRESDEN AVE,5, , ,884962.5,998554.6
18-023435,2018-07,5/25/2018 9:28,103000,3,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3900,S BROADWAY,18,3900,BROADWAY,898269.4,1001630
18-031501,2018-07,5/25/2018 18:00,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5557,LABADIE AVE,50,5557,LABADIE,886366,1036107
18-029896,2018-07,5/26/2018 7:59,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1320,ACADEMY AVE,51,1320,ACADEMY,887004.1,1029601
18-033164,2018-07,5/28/2018 15:30,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4318,NATURAL BRIDGE AVE,56,4318,NATURAL BRIDGE,895721.8,1032526
18-032687,2018-07,5/29/2018 0:01,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,5440,ROSA AVE,6,5440,ROSA,881132.1,1000352
18-024212,2018-07,5/29/2018 23:00,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,374,GRAND,37,374,GRAND,0,0
18-030845,2018-07,5/30/2018 11:00,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",5019,S GRAND BLVD,16,5019,GRAND,891271,997436.6
18-033167,2018-07,5/30/2018 12:18,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4216,HARRIS AVE,68,4216,HARRIS,898421.6,1034027
18-024293,2018-07,5/30/2018 14:20,182999,4,DRUGS-POSSESSION/OTHR UNSPEC DRUG,3101,CHOUTEAU AVE,37,3101,CHOUTEAU,898012.9,1016579
18-033165,2018-07,5/30/2018 18:00,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79,6124,BROADWAY,900558.8,1038456
18-034190,2018-07,5/31/2018 12:00,112010,1,FRAUD-CREDIT DEVICE/OVER $150,6523,S KINGSHIGHWAY BLVD,6,6523,KINGSHIGHWAY,881939.1,997512.3
18-024512,2018-07,5/31/2018 16:56,91303,0,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,10315,TUXFORD DR,0,10315,TUXFORD,847453.2,1036501
18-024512,2018-07,5/31/2018 16:56,91303,0,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,10315,TUXFORD DR,0,10315,TUXFORD,847453.2,1036501
18-024512,2018-07,5/31/2018 16:56,91113,0,SIMPLE ASSAULT-ADULT/NO INJURY,10315,TUXFORD DR,0,10315,TUXFORD,847453.2,1036501
18-032978,2018-07,6/1/2017 0:01,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4366,KENNERLY AVE,57,4366,KENNERLY,894130.6,1030022
18-025905,2018-07,6/1/2018 1:00,66701,5,LARCENY-BICYCLES UNDER $500, , ,53, , ,0,0
18-025905,2018-07,6/1/2018 1:00,69703,5,LARCENY-ALL OTH/FRM PRSN/UNDER $500, , ,53, , ,0,0
18-034013,2018-07,6/1/2018 10:00,69702,3,LARCENY-ALL OTHER UNDER $500,2620,LOUISIANA AVE,25,4327,MORGANFORD,895543,1009938
18-031139,2018-07,6/1/2018 12:00,43024,3,ASSLT-AGGRAV-OTH-WPN-1ST-CHILD-DOMESTIC,2314,MENARD ST,21,2314,MENARD,903535.2,1009099
18-031139,2018-07,6/1/2018 12:00,43024,3,ASSLT-AGGRAV-OTH-WPN-1ST-CHILD-DOMESTIC,2314,MENARD ST,21,2314,MENARD,903535.2,1009099
18-033411,2018-07,6/2/2018 10:00,67701,2,LARCENY-FROM BUILDING UNDER $500,3145,HAMPTON AVE,9,3145,HAMPTON,880136.8,1009490
18-032351,2018-07,6/2/2018 10:30,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",0,BATES ST / S BROADWAY,1, , ,894061.4,993603.2
18-024919,2018-07,6/2/2018 22:26,265321,3,LEAVING SCENE OF ACCIDENT,0,S 11TH ST / SIDNEY ST,21, , ,902874.7,1008159
18-032781,2018-07,6/3/2018 9:11,67701,1,LARCENY-FROM BUILDING UNDER $500,5009,STEFFENS AVE,5,5009,STEFFENS,888182.8,999623.8
18-030828,2018-07,6/3/2018 13:55,67701,3,LARCENY-FROM BUILDING UNDER $500,3145,LAFAYETTE AVE,31,3520,COMPTON,896830.7,1013394
18-025369,2018-07,6/3/2018 17:14,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5708,MAFFITT AVE,50,5708,MAFFITT,884735.6,1035276
18-030052,2018-07,6/3/2018 23:00,65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,W FLORISSANT AVE / MIMIKA AVE,76,1915,OLIVE,890668,1047772
18-031566,2018-07,6/4/2018 7:15,69702,5,LARCENY-ALL OTHER UNDER $500,5308,MAFFITT AVE,50,5308,MAFFITT,887727.9,1033747
18-031028,2018-07,6/4/2018 16:00,65701,4,LARCENY-MTR VEH PARTS UNDER $500,1511,WASHINGTON AVE,36,1511,WASHINGTON,905693.6,1019435
18-025267,2018-07,6/5/2018 0:10,38421,4,ROBBERY CARJACKING /STRNGARM/NO INJ/SUCCESSFUL, ,GRAND MONTGOMERY,59, , ,0,0
18-025345,2018-07,6/5/2018 11:00,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4732,NEWCOMB PL,54,4732,NEWCOMB,890083.5,1029113
18-030136,2018-07,6/6/2018 0:01,21000,3,RAPE -- FORCIBLE,3700,NEBRASKA AVE,19,3600,HYDRAULIC,0,0
18-026603,2018-07,6/6/2018 1:04,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4902,LOTUS AVE,55,4902,LOTUS,889688.1,1031087
18-025815,2018-07,6/7/2018 23:15,263120,5,OBSTRUCT GOVRN OP-FALSE REPORT,1377,HODIAMONT,78,6250,PAGE,0,0
18-025815,2018-07,6/7/2018 23:15,38111,5,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,1377,HODIAMONT,78,6250,PAGE,0,0
18-025886,2018-07,6/8/2018 11:35,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,4901,UNION BLVD,71,4900,UNION,891567.3,1039846
18-035182,2018-07,6/8/2018 12:00,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",3653,LIERMANN AVE,16,3653,LIERMANN,892589.4,1001850
18-033809,2018-07,6/8/2018 12:42,264100,5,HEALTH-SANITATION VIOL,4736,COTE BRILLIANTE AVE,55,4736,COTE BRILLIANTE,890569.6,1029908
18-026136,2018-07,6/9/2018 20:05,44012,3,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",3409,MISSOURI,18,3409,MISSOURI,0,0
18-026136,2018-07,6/9/2018 20:05,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3409,MISSOURI,18,3409,MISSOURI,0,0
18-026617,2018-07,6/9/2018 23:43,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,5575,ST LOUIS AVE,50,5575,ST LOUIS,886057.4,1035920
